id,title,year,authors,venue,entityUrl
0,The WASA2 object-oriented workflow management system,1999,"Gottfried Vossen, Mathias Weske",International Conference on Management of Data,304586
1,A user-centered interface for querying distributed multimedia databases,1999,"Isabel F. Cruz, Kimberly M. James",International Conference on Management of Data,304587
2,"World Wide Database-integrating the Web, CORBA and databases",1999,"Athman Bouguettaya, Boualem Benatallah, Lily Hendra, James Beard, Kevin Smith, Mourad Quzzani",International Conference on Management of Data,304589
3,XML-based information mediation with MIX,1999,"Chaitan Baru, Amarnath Gupta, Bertram Lud&#228;scher, Richard Marciano, Yannis Papakonstantinou, Pavel Velikhov, Vincent Chu",International Conference on Management of Data,304590
4,The CCUBE constraint object-oriented database system,1999,"Alexander Brodsky, Victor E. Segal, Jia Chen, Paval A. Exarkhopoulo",International Conference on Management of Data,304582
5,The Cornell Jaguar project: adding mobility to PREDATOR,1999,"Phillippe Bonnet, Kyle Buza, Zhiyuan Chan, Victor Cheng, Randolph Chung, Takako Hickey, Ryan Kennedy, Daniel Mahashin, Tobias Mayr, Ivan Oprencak, Praveen Seshadri, Hubert Siu",International Conference on Management of Data,304583
6,The active MultiSync controller of the cubetree storage organization,1999,"Nick Roussopoulos, Yannis Kotidis, Yannis Sismanis",International Conference on Management of Data,304584
7,The Jungle database search engine,1999,"Michael B&#246;hlen, Linas Bukauskas, Curtis Dyreson",International Conference on Management of Data,304585
8,ADEPT: an agent-based approach to business process management,1998,"N. R. Jennings, T. J. Norman, P. Faratin",ACM SIGMOD Record,306112
9,A componentized architecture for dynamic electronic markets,1998,"Benny Reich, Israel Ben-Shaul",ACM SIGMOD Record,306115
10,Design and implementation of RMP: a virtual electronic market place,1998,"Susanne Boll, Wolfgang Klas, Bernard Battaglin",ACM SIGMOD Record,306119
11,Discovering Internet marketing intelligence through online analytical web usage mining,1998,"Alex G. B&#252;chner, Maurice D. Mulvenna",ACM SIGMOD Record,306124
12,Component-based e-commerce: assessment of current practices and future directions,1998,"Martin Bichler, Arie Segev, J. Leon Zhao",ACM SIGMOD Record,306102
13,Building database-driven electronic catalogs,1998,Sherif Danish,ACM SIGMOD Record,306103
14,XML and electronic commerce: enabling the network economy,1998,"Bart Meltzer, Robert Glushko",ACM SIGMOD Record,306105
15,A workflow-based electronic marketplace on the Web,1998,"Asuman Dogac, Ilker Durusoy, Sena Arpinar, Nesime Tatbul, Pinar Koksal, Ibrahim Cingil, Nazife Dimililer",ACM SIGMOD Record,306109
16,DBIS-toolkit: adaptable middleware for large scale data delivery,1999,"Mehmet Altinel, Demet Aksoy, Thomas Baby, Michael Franklin, William Shapiro, Stan Zdonik",International Conference on Management of Data,304571
17,An XJML-based wrapper generator for Web information extraction,1999,"Ling Liu, Wei Han, David Buttler, Calton Pu, Wei Tang",International Conference on Management of Data,304570
18,Database patchwork on the Internet,1999,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",International Conference on Management of Data,304573
19,DOMINO: databases fOr MovINg Objects tracking,1999,"Ouri Wolfson, Prasad Sistla, Bo Xu, Jutai Zhou, Sam Chamberlain",International Conference on Management of Data,304572
20,The need for distributed asynchronous transactions,1999,"Lyman Do, Prabhu Ram, Pamela Drew",International Conference on Management of Data,304250
21,Versions and workspaces in Microsoft repository,1999,"Thomas Bergstraesser, Philip A. Bernstein, Shankar Pal, David Shutt",International Conference on Management of Data,304248
22,Data integration and warehousing in Telecom Italia,1999,"Stefano M. Trisolini, Maurizio Lenzerini, Daniele Nardi",International Conference on Management of Data,304569
23,Improving OLTP data quality using data warehouse mechanisms,1999,"Matthias Jarke, Christoph Quix, Guido Blees, Dirk Lehmann, Gunter Michalk, Stefan Stierl",International Conference on Management of Data,304568
24,SERF: ODMG-based generic re-structuring facility,1999,"E. A. Rundensteiner, K. Claypool, M. Li, L. Chen, Z. Zhang, C. Natarajan, J. Jin, S. De Lima, S. Weiner",International Conference on Management of Data,304579
25,"PowerBookmarks: a system for personalizable Web information organization, sharing, and management",1999,"Wen-Syan Li, Quoc Vu, Edward Chang, Divyakant Agrawal, Kyoji Hirata, Sougata Mukherjea, Yi-Leh Wu, Corey Bufi, Chen-Chuan Kevin Chang, Yoshinori Hara, Reiko Ito, Yutaka Kimura, Kezuyuki Shimazu, Yukiyoshi Saito",International Conference on Management of Data,304578
26,The Aqua approximate query answering system,1999,"Swarup Acharya, Phillip B. Gibbons, Viswanath Poosala, Sridhar Ramaswamy",International Conference on Management of Data,304581
27,TAM: a system for dynamic transactional activity management,1999,"Tong Zhou, Ling Liu, Calton Pu",International Conference on Management of Data,304580
28,Exploratory mining via constrained frequent set queries,1999,"Raymond Ng, Laks V. S. Lakshmanan, Jiawei Han, Teresa Mah",International Conference on Management of Data,304575
29,Evolvable view environment (EVE): non-equivalent view maintenance under schema changes,1999,"E. A. Rundensteiner, A. Koeller, X. Zhang, A. J. Lee, A. Nica, A. Van Wyk, Y. Lee",International Conference on Management of Data,304574
30,Phoenix: making applications robust,1999,"Roger Barga, David B. Lomet",International Conference on Management of Data,304577
31,Nodose version 2.0,1999,"Brad Adelberg, Matthew Denny",International Conference on Management of Data,304576
32,Bringing object-relational technology to the mainstream,1999,"Vishu Krishnamurthy, Sandeepan Banerjee, Anil Nori",International Conference on Management of Data,304235
33,Implementing the spirit of SQL-99,1999,Paul Brown,International Conference on Management of Data,304236
