id,venue,year,authors,title,entityUrl
0,SIGMOD Record,1999,D. Scott Mackay,Semantic Integration of Environmental Models for Application to Global Information Systems and Decision-Making,journals/sigmod/Mackay99
1,VLDB,1996,"Viswanath Poosala, Yannis E. Ioannidis",Estimation of Query-Result Distribution and its Application in Parallel-Join Load Balancing,conf/vldb/PoosalaI96
2,VLDB,2002,"Themistoklis Palpanas, Richard Sidle, Hamid Pirahesh, Roberta Cochrane",Incremental Maintenance for Non-Distributive Aggregate Functions,conf/vldb/PalpanasSCP02
3,VLDB,1996,"Zhao-Hui Tang, Georges Gardarin, Jean-Robert Gruser",Cost-based Selection of Path Expression Processing Algorithms in Object-Oriented Databases,conf/vldb/GardarinGT96
4,VLDB,1995,"Erik G. Hoel, Hanan Samet",Benchmarking Spatial Join Operations with Spatial Output,conf/vldb/HoelS95
5,SIGMOD Conference,1999,Daniel A. Keim,Efficient Geometry-based Similarity Search of 3D Spatial Databases,conf/sigmod/Keim99
6,SIGMOD Record,2002,Aris M. Ouksel,Mining the World Wide Web: An Information Search Approach - Book Review,journals/sigmod/Ouksel02
7,VLDB J.,1998,Praveen Seshadri,Enhanced Abstract Data Types in Object-Relational Databases,journals/vldb/Seshadri98
8,SIGMOD Record,1997,"Nandit Soparkar, Krithi Ramamritham",Report on DART '96: Databases: Active and Real-Time (Concepts meet Practice),journals/sigmod/RamamrithamS97
9,SIGMOD Record,1996,"Phil Janus, Albert D'Andrea",UniSQL's Next-Generation Object-Relational Database Management System,journals/sigmod/DAndreaJ96
10,VLDB,1994,"Alfons Kemper, Donald Kossmann",Dual-Buffering Strategies in Object Bases,conf/vldb/KemperK94
11,SIGMOD Conference,2003,"Nesime Tatbul, Daniel J. Abadi, C. Erwin, Anurag Maskey, Mitch Cherniack, Alex Rasin, Christian Convey, A. Singer, Eduardo F. Galvez, R. Yan, Ugur �etintemel, Ying Xing, Stanley B. Zdonik, Michael Stonebraker, Donald Carney, M. Hatoun",Aurora: A Data Stream Management System,conf/sigmod/AbadiCCCCEGHMRSSTXYZ03
12,VLDB J.,1996,"Rajendran M. Sivasankaran, Bhaskar Purimetla, John A. Stankovic, Krithi Ramamritham, Donald F. Towsley",Priority Assignment in Real-Time Active Databases,journals/vldb/SivasankaranSTPR96
13,VLDB J.,2000,"Surojit Chatterjee, Gholamhosein Sheikholeslami, Aidong Zhang",WaveCluster: A Wavelet Based Clustering Approach for Spatial Data in Very Large Databases,journals/vldb/SheikholeslamiCZ00
14,VLDB J.,2001,"Hector Garcia-Molina, Kevin Chen-Chuan Chang",Approximate query mapping: Accounting for translation closeness,journals/vldb/ChangG01
15,VLDB,1996,"John C. Shafer, Rakesh Agrawal, Manish Mehta",SPRINT: A Scalable Parallel Classifier for Data Mining,conf/vldb/ShaferAM96
16,SIGMOD Conference,2001,"Jeff Pavel, Luis Gravano, Aleksandr Voskoboynik, Eugene Agichtein, Viktoriya Sokolova",Snowball: A Prototype System for Extracting Relations from Large Text Collections,conf/sigmod/AgichteinGV01
17,SIGMOD Conference,1997,"Timothy Griffin, Richard Hull",A Framework for Implementing Hypothetical Queries,conf/sigmod/GriffinH97
18,VLDB J.,1997,"Raymond T. Ng, Timos K. Sellis, Yannis E. Ioannidis, Kyuseok Shim",Parametric Query Optimization,journals/vldb/IoannidisNSS97
19,VLDB,2001,"Yingwei Cui, Jennifer Widom",Lineage Tracing for General Data Warehouse Transformations,conf/vldb/CuiW01
20,SIGMOD Record,2002,Joachim Hammer,Report on the ACM Fourth International Workshop on Data Warehousing and OLAP (DOLAP 2001),journals/sigmod/Hammer02
21,VLDB,2000,"Jittat Fakcharoenphol, Steve Chien, Ziv Bar-Yossef, Alexander Berg, Dror Weitz",Approximating Aggregate Queries about Web Pages via Random Walks,conf/vldb/Bar-YossefBCFW00
22,SIGMOD Record,1997,"Dan Suciu, Daniela Florescu, Alon Y. Levy, Mary F. Fernandez",A Query Language for a Web-Site Management System,journals/sigmod/FernandezFLS97
23,VLDB,1996,"Elena Ferrari, Pierangela Samarati, Claudio Bettini, Elisa Bertino",Supporting Periodic Authorizations and Temporal Reasoning in Database Access Control,conf/vldb/BertinoBFS96
24,SIGMOD Conference,1998,"Bin Li, Dennis Shasha",Free Parallel Data Mining,conf/sigmod/LiS98
25,VLDB,1999,"Brian T. Tran, Jyh-Herng Chow, Michelle Jou, Jean Grandbois, Yun Wang, You-Chin Fuh, Weidong Chen, Nelson Mendon�a Mattos",High Level Indexing of User-Defined Types,conf/vldb/ChenCFGJMTW99
26,VLDB,1994,Philip A. Bernstein,PC Database Systems - Present and Future,conf/vldb/Bernstein94
27,VLDB,2001,"Jeffrey F. Naughton, Qiong Luo",Form-Based Proxy Caching for Database-Backed Web Sites,conf/vldb/LuoN01
28,VLDB J.,1998,"Tova Milo, Serge Abiteboul, Sophie Cluet",A Logical View of Structured Files,journals/vldb/AbiteboulCM98
29,SIGMOD Record,2003,"Evaggelia Pitoura, Serge Abiteboul, Michalis Vazirgiannis, Dieter Pfoser, George Samaras",DBGlobe: a service-oriented P2P system for global computing,journals/sigmod/PitouraAPSV03
30,SIGMOD Conference,1999,"Reinhard Braumandl, Alfons Kemper, Donald Kossmann",Database Patchwork on the Internet,conf/sigmod/BraumandlKK99
31,VLDB,1994,"Yannis E. Ioannidis, Maria Zemankova",Scientific Databases - State of the Art and Future Directions,conf/vldb/ZemankovaI94
32,VLDB,1997,"Bernhard Seeger, Peter Widmayer, Jochen Van den Bercken",A Generic Approach to Bulk Loading Multidimensional Index Structures,conf/vldb/BerckenSW97
33,VLDB,2003,"J�rg Sander, Jianjun Zhou",Data Bubbles for Non-Vector Data: Speeding-up Hierarchical Clustering in Arbitrary Metric Spaces,conf/vldb/ZhouS03
34,VLDB,1996,"Hector Garcia-Molina, Wilburt Labio",Efficient Snapshot Differential Algorithms for Data Warehousing,conf/vldb/LabioG96
35,VLDB,1996,"Roberta Cochrane, Hamid Pirahesh, Nelson Mendon�a Mattos",Integrating Triggers and Declarative Constraints in SQL Database Sytems,conf/vldb/CochranePM96
36,VLDB,2003,"Yannis Papakonstantinou, Luis Gravano, Vagelis Hristidis",Efficient IR-Style Keyword Search over Relational Databases,conf/vldb/HristidisGP03
37,VLDB J.,2002,"Simonas Saltenis, Christian S. Jensen",Indexing of now-relative spatio-bitemporal data,journals/vldb/SaltenisJ02
38,SIGMOD Conference,2003,Curtis E. Dyreson,"Temporal Coalescing with Now, Granularity, and Incomplete Information",conf/sigmod/Dyreson03
39,SIGMOD Record,2003,"Sharma Chakravarthy, Y. Alp Aslandogan, Ramez Elmasri, Leonidas Fegaras, Jung-Hwan Oh",Database Research at UT Arlington,journals/sigmod/ChakravarthyAEFO03
40,SIGMOD Record,1995,"Kevin Strehlo, Ralph Kimball",Why Decision Support Fails and How To Fix It,journals/sigmod/KimballS95
41,VLDB,1994,"Alexandros Biliris, Banu �zden, Abraham Silberschatz, Rajeev Rastogi",A Low-Cost Storage Server for Movie on Demand Databases,conf/vldb/OzdenBRS94
42,VLDB,1999,"Theo H�rder, Norbert Ritter, Udo Nink",Generating Call-Level Interfaces for Advanced Database Application Programming,conf/vldb/NinkHR99
43,SIGMOD Conference,2002,"Haixun Wang, Wei Wang, Philip S. Yu, Jiong Yang",Clustering by pattern similarity in large data sets,conf/sigmod/WangWYY02
44,SIGMOD Conference,2000,"Manuel Rodriguez-Martinez, Joseph J�J�, John M. McGann, Nick Roussopoulos, Zhexuan Song, Stephen Kelley, Vadim Katz",MOCHA: A Database Middleware System Featuring Automatic Deployment of Application-Specific Functionality,conf/sigmod/Rodriguez-Martinez00
45,SIGMOD Conference,2000,"Zengping Tian, Hongjun Lu, Yanlei Diao, Songting Chen",Fact: A Learning Based Web Query Processing System,conf/sigmod/ChenDLT00
46,SIGMOD Record,2001,"Jim Melton, Andrew Eisenberg",SQL Multimedia and Application Packages (SQL/MM),journals/sigmod/MeltonE01
47,VLDB,1996,Amit P. Sheth,Bellcore's ADAPT/X Harness System for Managing Information on Internet and Intranets,conf/vldb/Sheth96
48,SIGMOD Conference,2001,Per-�ke Larson,XML Data Management Go Native or Spruce up Relational Systems? (Panel Abstract),conf/sigmod/Larson01
49,SIGMOD Record,1997,"Surajit Chaudhuri, Umeshwar Dayal",An Overview of Data Warehousing and OLAP Technology,journals/sigmod/ChaudhuriD97
50,SIGMOD Conference,1994,"Steven Berson, Richard R. Muntz, Shahram Ghandeharizadeh, Xiangyu Ju",Staggered Striping in Multimedia Information Systems,conf/sigmod/BersonGMJ94
51,SIGMOD Record,2003,"Mario Gerla, Kaixin Xu",Multimedia streaming in large-scale sensor networks with mobile swarms,journals/sigmod/GerlaX03
52,SIGMOD Record,1994,Hans-Joachim Klein,How to Modify SQL Queries in Order to Guarantee Sure Answers,journals/sigmod/Klein94
53,VLDB,1994,"Alain Pirotte, Esteban Zim�nyi, Tatiana Yakusheva, David Massart",Materialization: A Powerful and Ubiquitous Abstraction Pattern,conf/vldb/PirotteZMY94
54,SIGMOD Conference,2001,"Debra E. VanderMeer, Krithi Ramamritham, Helen M. Thomas, Anindya Datta, Kaushik Dutta",Dynamic Content Acceleration: A Caching Solution to Enable Scalable Dynamic Web Page Generation,conf/sigmod/DattaDRTV01
55,SIGMOD Record,1994,Martin Bertram,Data Modelling in the Large,journals/sigmod/Bertram94
56,SIGMOD Conference,2001,"Daniel S. Weld, Zachary G. Ives, Igor Tatarinov, Alon Y. Halevy",Updating XML,conf/sigmod/TatarinovIHW01
57,SIGMOD Record,2002,"Alan F. Smeaton, Mark Roantree",Research in Information Managment at Dublin City University,journals/sigmod/RoantreeS02
58,SIGMOD Conference,1998,"Andreas Dehmel, Peter Baumann, Norbert Widmann, Roland Ritsch, Paula Furtado",The Multidimensional Database System RasDaMan,conf/sigmod/BaumannDFRW98
59,VLDB,2001,"Anand Sivasubramaniam, Sudhanva Gurumurthi, Narayanan Vijaykrishnan, Ning An, Mary Jane Irwin, Mahmut T. Kandemir",Analyzing energy behavior of spatial access methods for memory-resident data,conf/vldb/AnSVKIG01
60,VLDB,1999,Goetz Graefe,The Value of Merge-Join and Hash-Join in SQL Server,conf/vldb/Graefe99
61,SIGMOD Conference,2002,Andreas Weininger,Efficient execution of joins in a star schema,conf/sigmod/Weininger02
62,VLDB,2000,"Luc Bouganim, Patrick Valduriez, Philippe Pucheral, Christophe Bobineau",PicoDMBS: Scaling Down Database Techniques for the Smartcard,conf/vldb/ChristopheBPV00
63,VLDB,1999,"Divesh Srivastava, Olga Kapitskaia, Raymond T. Ng, H. V. Jagadish",Multi-Dimensional Substring Selectivity Estimation,conf/vldb/JagadishKNS99
64,VLDB J.,1999,"Theo H�rder, Joachim Thomas, G�nter Sauter",The Intrinsic Problems of Structural Heterogeneity and an Approach to Their Solution,journals/vldb/HarderST99
65,SIGMOD Conference,1999,C. Mohan,A Database Perspective on Lotus Domino/Notes,conf/sigmod/Mohan99
66,SIGMOD Record,1996,Rafael Camps,"Domains, Relations and Religious Wars",journals/sigmod/Camps96
67,VLDB,2003,Scott Shenker,The Data-Centric Revolution in Networking,conf/vldb/Shenker03
68,SIGMOD Conference,2003,"Phillip B. Gibbons, Srinivasan Seshan, Suman Kumar Nath, Amol Deshpande",Cache-and-Query for Wide Area Sensor Databases,conf/sigmod/DeshpandeNGS03
69,VLDB,1995,"Zhao-Hui Tang, Jean-Robert Gruser, Georges Gardarin",A Cost Model for Clustered Object-Oriented Databases,conf/vldb/GardarinGT95
70,VLDB,1998,"Wilburt Labio, Jun Yang, Hector Garcia-Molina",Expiring Data in a Warehouse,conf/vldb/Garcia-MolinaLY98
71,SIGMOD Record,1997,Xiaolei Qian,Opportunities in Information Management and Assurance,journals/sigmod/Qian97
72,VLDB,1997,"Andr� Eickler, Alfons Kemper, Donald Kossmann",Finding Data in the Neighborhood,conf/vldb/EicklerKK97
73,SIGMOD Conference,2001,"Yannis Papakonstantinou, Vagelis Hristidis, Nick Koudas",PREFER: A System for the Efficient Execution of Multi-parametric Ranked Queries,conf/sigmod/HristidisKP01
74,SIGMOD Record,2002,Ling Liu,Editor's Notes,journals/sigmod/Liu02
75,SIGMOD Conference,2002,"Mukesh Mulchandani, Elke A. Rundensteiner, Xin Zhang, Brian Murphy, Steffen Christ",Rainbow: mapping-driven XQuery processing system,conf/sigmod/ZhangMCMR02
76,VLDB J.,1996,"Carol Small, Alexandra Poulovassilis",Algebraic Query Optimisation for Database Programming Languages,journals/vldb/PoulovassilisS96
77,ACM Trans. Database Syst.,1995,"Alexander Aiken, Jennifer Widom, Joseph M. Hellerstein",Static Analysis Techniques for Predicting the Behavior of Active Database Rules,journals/tods/AikenHW95
78,SIGMOD Conference,1994,"Babis Theodoulidis, George Karvelis, Jayant Chaudhary, Aziz Ait-Braham, Simon Sou, George Andrianopoulos",The ORES Temporal Database Management System,conf/sigmod/TheodoulidisAACKS94
79,ACM Trans. Database Syst.,1996,"Hamid Pirahesh, Inderpal Singh Mumick, Raghu Ramakrishnan, Sheldon J. Finkelstein",Magic Conditions,journals/tods/MumickFPR96
80,VLDB,1995,"Wolfgang Klas, Frank Moser, Achim Kraiss",L/MRP: A Buffer Management Strategy for Interactive Continuous Data Flows in a Multimedia DBMS,conf/vldb/MoserKK95
81,SIGMOD Conference,1998,Peter M. Spiro,"Ubiquitous, Self-tuning, Scalable Servers",conf/sigmod/Spiro98
82,VLDB,1999,Sunita Sarawagi,Explaining Differences in Multidimensional Aggregates,conf/vldb/Sarawagi99
83,VLDB,1995,"Kun-Lung Wu, Philip S. Yu, James Z. Teng, Jen-Yao Chung",A Performance Study of Workfile Disk Management for Concurrent Mergesorts in a Multiprocessor Database System,conf/vldb/WuYCT95
84,SIGMOD Conference,1994,David Vaskevitch,Database in Crisis and Transition: A Technical Agenda for the Year 2001,conf/sigmod/Vaskevitch94
85,SIGMOD Conference,1995,Amit P. Sheth,"Workflow Automation: Applications, Technology, and Research (Tutorial)",conf/sigmod/Sheth95
86,SIGMOD Record,2000,"Krishna Kant, Prasant Mohapatra","Workshop on Performance and Architecture of Web Servers (PAWS-2000, held in conjection with SIGMETRICS-2000)",journals/sigmod/KantM00
87,VLDB,2000,"Rachel Pottinger, Alon Y. Levy",A Scalable Algorithm for Answering Queries Using Views,conf/vldb/PottingerL00
88,SIGMOD Record,2002,Richard T. Snodgrass,Why I Like Working in Academia,journals/sigmod/Snodgrass02
89,SIGMOD Conference,2001,"Dimitrios Gunopulos, Aristides Gionis, Nick Koudas",Efficient and Tunable Similar Set Retrieval,conf/sigmod/GionisGK01
90,VLDB,2002,"Mahesh V. Soundalgekar, Soumen Chakrabarti, Shourya Roy",Fast and Accurate Text Classification via Multiple Linear Discriminant Projections,conf/vldb/ChakrabartiRS02
91,VLDB,2001,"Meichun Hsu, Rivka Ladin, Umeshwar Dayal","Business Process Coordination: State of the Art, Trends, and Open Issues",conf/vldb/DayalHL01
92,VLDB,2000,Geoffrey C. Bowker,Work and Information Practices in the Sciences of Biodiversity,conf/vldb/Bowker00
93,SIGMOD Conference,1994,"Simon J. Gibbs, Christian Breiteneder, Dennis Tsichritzis",Data Modeling of Time-Based Media,conf/sigmod/GibbsBT94
94,ACM Trans. Database Syst.,1995,"S. Sudarshan, Divesh Srivastava, Raghu Ramakrishnan, Jeffrey F. Naughton",Space Optimization in Deductive Databases,journals/tods/SrivastavaSRN95
95,SIGMOD Record,2000,Richard T. Snodgrass,Chair's Message,journals/sigmod/Snodgrass00a
96,SIGMOD Record,1994,Rafael Alonso,Trade Press News - Announcement and Preface,journals/sigmod/Alonso94b
97,SIGMOD Conference,2001,"Shimin Chen, Todd C. Mowry, Phillip B. Gibbons",Improving Index Performance through Prefetching,conf/sigmod/ChenGM01
98,SIGMOD Record,1996,Xiaolei Qian,New Programs at DARPA and NSF,journals/sigmod/Qian96b
99,VLDB,1994,"Alexandra Poulovassilis, Carol Small",Investigation of Algebraic Query Optimisation Techniques for Database Programming Languages,conf/vldb/PoulovassilisS94
100,VLDB,1999,"Lucian Popa, Alin Deutsch, Val Tannen","Physical Data Independence, Constraints, and Optimization with Universal Plans",conf/vldb/DeutschPT99
