id,https://www.scads.de/movieBenchmark/ontology/primaryProfessions,https://www.scads.de/movieBenchmark/ontology/name,http://dbpedia.org/ontology/birthYear,http://dbpedia.org/ontology/deathYear,entityUrl,https://www.scads.de/movieBenchmark/ontology/isAdult,https://www.scads.de/movieBenchmark/ontology/genre_list,https://www.scads.de/movieBenchmark/ontology/startYear,https://www.scads.de/movieBenchmark/ontology/runtimeMinutes,https://www.scads.de/movieBenchmark/ontology/title,https://www.scads.de/movieBenchmark/ontology/originalTitle,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/seasonNumber,https://www.scads.de/movieBenchmark/ontology/endYear
0,actor,Edmon Ryan,1905-01-01,1984-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0002269,,,,,,,,,
1,actor,Steve Forrest,1925-01-01,2013-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0002079,,,,,,,,,
2,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt1327791,0,"Comedy,Drama",2008-01-01,44,Gar ho yuet yuen,Gar ho yuet yuen,,,
3,"camera_department,cinematographer,writer",Albert Banzon,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2009282,,,,,,,,,
4,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt6411836,0,Drama,2017-01-01,55,Chapter 58,Chapter 58,6,5,
5,"producer,actor,writer",George Lopez,1961-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0520064,,,,,,,,,
6,"actor,writer,producer",Wallace Bosco,1880-01-01,1973-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0097848,,,,,,,,,
7,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt10100558,0,Comedy,2019-01-01,,Bonusprogram med extra tester,Bonusprogram med extra tester,8,3,
8,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604370,0,"Crime,Drama,Mystery",1996-01-01,,For God and Country,For God and Country,12,4,
9,"actor,producer,soundtrack",Benedict Cumberbatch,1976-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm1212722,,,,,,,,,
10,"writer,actress,director",Genki Yoshimura,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0949025,,,,,,,,,
11,"actor,miscellaneous",Sayid,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm2489701,,,,,,,,,
12,actress,Jeanne Moody,1931-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0600488,,,,,,,,,
13,writer,Elizabeth Enright,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm5483289,,,,,,,,,
14,actor,Fredrik Svensson,1990-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm10537538,,,,,,,,,
15,actor,John Bayliss,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0063094,,,,,,,,,
16,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0073558,0,"Drama,Romance",1976-01-01,103,Poslednyaya zhertva,Poslednyaya zhertva,,,
17,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0658769,0,"Action,Drama,Mystery",2002-01-01,,Motherhunt: Part 2,Motherhunt: Part 2,7,2,
18,actor,Ryo Ishibashi,1956-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0410903,,,,,,,,,
19,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0657675,0,"Adventure,Drama,Family",1961-01-01,30,Grudge Match,Grudge Match,21,1,
20,actor,John Vivyan,1915-01-01,1983-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0900387,,,,,,,,,
21,"actor,writer",Hellmut Lange,1923-01-01,2011-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0486132,,,,,,,,,
22,"director,writer,producer",Joel Schumacher,1939-01-01,2020-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001708,,,,,,,,,
23,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0630837,0,Drama,1959-01-01,30,Circles of Panic,Circles of Panic,5,7,
24,actor,Joseph J. Greene,1894-01-01,1979-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0338812,,,,,,,,,
25,,Paul Quinn,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm9471342,,,,,,,,,
26,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0631031,0,Drama,1955-01-01,30,The Refinement of 'Ab',The Refinement of 'Ab',21,2,
27,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0604333,0,"Crime,Drama,Mystery",1993-01-01,,A Shot in the Dark,A Shot in the Dark,4,1,
28,actress,Hà Xuyên,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0944691,,,,,,,,,
29,"actor,miscellaneous",Don Haggerty,1914-01-01,1988-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0353628,,,,,,,,,
30,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0710741,0,"Drama,Sport,Western",1963-01-01,60,Point of Entry,Point of Entry,21,1,
31,actor,Don Megowan,1922-01-01,1981-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0576353,,,,,,,,,
32,actor,Ben Piazza,1933-01-01,1991-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0681319,,,,,,,,,
33,actress,Danica Dawn Johnston,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm9027219,,,,,,,,,
34,"writer,producer,actor",Russell Banks,1940-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0001930,,,,,,,,,
35,actor,Abdulkhair Kasymov,1907-01-01,2001-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0441059,,,,,,,,,
36,actress,Margie Liszt,1909-01-01,1992-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0514308,,,,,,,,,
37,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0773944,0,"Biography,Comedy,Documentary",2004-01-01,,Thomas Paine,Thomas Paine,4,2,
38,"actor,director,producer",Richard Yearwood,1970-01-01,,https://www.scads.de/movieBenchmark/resource/IMDB/nm0947073,,,,,,,,,
39,"writer,director",William Bruckner,1915-01-01,1987-01-01,https://www.scads.de/movieBenchmark/resource/IMDB/nm0115689,,,,,,,,,
40,"writer,script_department",Ester Namdar,,,https://www.scads.de/movieBenchmark/resource/IMDB/nm3751266,,,,,,,,,
41,,,,,https://www.scads.de/movieBenchmark/resource/IMDB/tt0520156,0,Adventure,1962-01-01,,The Shark Affair,The Shark Affair,2,1,
