id,https://www.scads.de/movieBenchmark/ontology/name,http://xmlns.com/foaf/0.1/gender,entityUrl,https://www.scads.de/movieBenchmark/ontology/title,https://www.scads.de/movieBenchmark/ontology/release_year,http://dbpedia.org/ontology/episodeNumber,http://dbpedia.org/ontology/releaseDate,http://dbpedia.org/ontology/seasonNumber,http://dbpedia.org/ontology/abstract,https://www.scads.de/movieBenchmark/ontology/company_type,https://www.scads.de/movieBenchmark/ontology/origin_country,https://www.scads.de/movieBenchmark/ontology/known_for_department,https://www.scads.de/movieBenchmark/ontology/in_production,https://www.scads.de/movieBenchmark/ontology/last_air_date,https://www.scads.de/movieBenchmark/ontology/original_language,https://www.scads.de/movieBenchmark/ontology/languages,https://www.scads.de/movieBenchmark/ontology/status,https://www.scads.de/movieBenchmark/ontology/genre_list,https://www.scads.de/movieBenchmark/ontology/originalTitle,http://xmlns.com/foaf/0.1/homepage,http://dbpedia.org/ontology/numberOfEpisodes,http://dbpedia.org/ontology/numberOfSeasons,http://dbpedia.org/ontology/runtime,http://dbpedia.org/ontology/budget,https://www.scads.de/movieBenchmark/ontology/revenue,https://www.scads.de/movieBenchmark/ontology/production_countries,https://www.scads.de/movieBenchmark/ontology/spoken_languages,http://dbpedia.org/ontology/birthDate,https://www.scads.de/movieBenchmark/ontology/birthPlace,https://www.scads.de/movieBenchmark/ontology/tagline,https://www.scads.de/movieBenchmark/ontology/also_known_as
0,Ola Forssmed,2,https://www.scads.de/movieBenchmark/resource/TMDB/person564053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rikiya Koyama,2,https://www.scads.de/movieBenchmark/resource/TMDB/person237076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode311147,Hate Crimes,1995-01-01,5,1995-11-17,4,Pembleton and Bayliss investigate a murder that was committed in a gay neighborhood by skinheads and the victim's sexual preference is questioned. Brodie is hired by the department to videotape the detectives' crime scenes. A voice stress analyzer is brought in for a demonstration. Meldrick gets a lead and closes an old Crosetti case that even Howard couldn't crack; it causes a little tension between them.,,,,,,,,,,,,,,,,,,,,,,
3,William Aldridge,0,https://www.scads.de/movieBenchmark/resource/TMDB/person2153544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694640,Windfall,1958-01-01,20,1958-03-16,5,,,,,,,,,,,,,,,,,,,,,,,
5,John Clive,0,https://www.scads.de/movieBenchmark/resource/TMDB/person117548,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Kevin Molloy,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1857416,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode694450,Royal Partners: Part 1,1957-01-01,33,1957-05-19,4,,,,,,,,,,,,,,,,,,,,,,,
8,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode498652,Hyde and Go Shriek,1993-01-01,8,1993-11-06,1,"'Wendell the nerd never wanted any trouble. In fact, he did everything he could to fit in and earn the respect of tough jock Rex Reavis and his friends, including dismissing all their cruel practical jokes with a shrug and a laugh.    ",,,,,,,,,,,,,,,,,,,,,,
9,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1010733,Episode 7,2014-01-01,7,2014-10-22,4,"A body on the moors leads Janet and Chris to a shocking discovery. While Rachel and Janet harbour concerns about Gill's behaviour, their own actions come under investigation.",,,,,,,,,,,,,,,,,,,,,,
10,The Weinstein Company,,https://www.scads.de/movieBenchmark/resource/TMDB/company308,,,,,,,productionCompany,US,,,,,,,,,,,,,,,,,,,,
11,Ronald Wilson,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1312282,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
12,Barry Gifford,2,https://www.scads.de/movieBenchmark/resource/TMDB/person6586,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,
13,Hans Brausewetter,2,https://www.scads.de/movieBenchmark/resource/TMDB/person591493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1243775,"You Only Live Once, YOLO!",2016-01-01,6,2016-03-25,4,"Seeing the great view of Victoria Falls, the four young actors recall their memories for the last 11 days in Africa and they become emotional. They go rafting on the Zambezi River and enjoy one of the most thrilling experiences in their lives. Jun Yeol and Bo Gum move to do a bungee jump while the others give up.",,,,,,,,,,,,,,,,,,,,,,
15,Don Letts,2,https://www.scads.de/movieBenchmark/resource/TMDB/person92073,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
16,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode389926,Princess,2010-01-01,13,2010-02-27,2,"To save Kahlan from execution, reluctant Cara must pose as a polished princess and compete in an elaborate masquerade of manners to win a powerful ruler's affections.",,,,,,,,,,,,,,,,,,,,,,
17,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode257000,Episode 7,1999-01-01,7,1999-02-21,2,"John Parr gets his revenge against Chef by kidnapping his son, while the police start to piece together the facts about Simone's murder. Danny is thrown out by the Quinlans when he tells them he will be a witness on behalf of Lucy Archer, against Tony Quinlan and his two co-defendants. Mrs Archer is upset about the backlash that has resulted from her daughter's allegations. Bernie tells Father Matthew about her pregnancy.",,,,,,,,,,,,,,,,,,,,,,
18,Vyara Kovacheva,0,https://www.scads.de/movieBenchmark/resource/TMDB/person2251342,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1243395,C-H-O-CHOIR,2016-01-01,10,2016-12-14,1,"It’s Christmas time at the DiMeos, and Maya surprises everyone by embracing a newfound holiday spirit. But her view is put to the test when the family van is stolen, along with all their holiday gifts. Worrying he won’t get into college, Ray joins the choir and gets a coveted solo. But when a very attractive new teacher is hired, JJ decides to join his brother and takes Ray’s solo.",,,,,,,,,,,,,,,,,,,,,,
20,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode463115,One Little Pearl,1960-01-01,8,1960-11-28,2,,,,,,,,,,,,,,,,,,,,,,,
21,Lars Mikkelsen,2,https://www.scads.de/movieBenchmark/resource/TMDB/person71158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode182337,The Invisible Hand of Fate,2008-01-01,3,2008-06-15,3,"Billy Quizboy recovers the memories of his former life as a failed TV Quizboy, the loss of his hand and eye in a dogfight, his recruitment into the OSI, and his first mission as a spy.",,,,,,,,,,,,,,,,,,,,,,
23,Neil Dickson,2,https://www.scads.de/movieBenchmark/resource/TMDB/person18906,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Grisha Ostrovski,2,https://www.scads.de/movieBenchmark/resource/TMDB/person1331682,,,,,,,,,Directing,,,,,,,,,,,,,,,,,,,
25,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1255151,Episode 4,1994-01-01,4,1994-02-07,1,,,,,,,,,,,,,,,,,,,,,,,
26,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1789756,Episode 9,2019-01-01,9,2019-06-08,3,,,,,,,,,,,,,,,,,,,,,,,
27,Edward Tang,2,https://www.scads.de/movieBenchmark/resource/TMDB/person46318,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,
28,Tony Roberts,2,https://www.scads.de/movieBenchmark/resource/TMDB/person10555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode1367951,Running with the Bulls,2017-01-01,4,2017-10-22,9,Larry’s therapist accuses him of overstepping. Susie grows suspicious of Jeff. Larry bribes an usher at a funeral.,,,,,,,,,,,,,,,,,,,,,,
30,Mary Houlihan,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1887238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,https://www.scads.de/movieBenchmark/resource/TMDB/episode548647,Episode 17,2009-01-01,17,2009-03-03,1,"As the merger of Shinhwa group and JK group begins, Junpyo and Jaekyung go out on their first date. However, Junpyo reminds of Jandi every place Jaekyung wants to go. Jaekyung senses it and asks Junpyo to kiss her as the lover. Jihoo and Jandi see this while they are talking on the stairway… Yijung witnesses his father with a woman at his workroom and has a big argument. Suffering deeply, Yijung thinks of Eunjae, his first love. Gaeul signs up for the pottery class and meets Cha Eunjae, the student teacher, in there.",,,,,,,,,,,,,,,,,,,,,,
32,Jerome Hairston,2,https://www.scads.de/movieBenchmark/resource/TMDB/person1628370,,,,,,,,,Writing,,,,,,,,,,,,,,,,,,,
33,Kenny Monger,0,https://www.scads.de/movieBenchmark/resource/TMDB/person1440852,,,,,,,,,,,,,,,,,,,,,,,,,,,,
